planned_budget,planned_duration,team_size,technical_complexity,stakeholder_count,methodology,project_type,risk_level
4000000,6,32,3,6,Waterfall,DevOps,high
2000000,6,8,6,12,V-Model,Web Development,low
2000000,6,36,4,8,Iterative,Mobile App,medium
3000000,6,5,3,20,Waterfall,Enterprise Software,low
5000000,4,16,6,9,Waterfall,Cloud Migration,medium
2000000,6,13,1,12,Iterative,IoT,low
2000000,4,10,10,5,Agile,Cybersecurity,low
1000000,6,19,1,7,Iterative,Data Analytics,low
2000000,6,49,9,18,Spiral,AI/ML,high
1000000,6,14,1,11,Waterfall,Cybersecurity,low
4000000,4,17,3,13,V-Model,Cloud Migration,medium
1000000,6,19,2,14,Iterative,AI/ML,low
2000000,4,22,4,14,Waterfall,AI/ML,medium
2000000,6,30,6,11,Waterfall,Cloud Migration,high
2000000,4,22,2,18,Iterative,Mobile App,low
5000000,6,14,6,8,Spiral,DevOps,medium
1000000,6,46,10,11,V-Model,Enterprise Software,high
4000000,4,12,8,9,Iterative,Web Development,low
1000000,6,29,5,17,Waterfall,DevOps,medium
5000000,6,41,3,20,Agile,DevOps,medium
1000000,4,26,5,18,Agile,DevOps,medium
1000000,4,32,7,7,V-Model,DevOps,high
3000000,6,43,3,2,Agile,Cloud Migration,medium
1000000,6,36,6,6,Agile,Enterprise Software,high
4000000,6,40,5,17,Agile,Enterprise Software,high
1000000,4,27,2,16,Waterfall,AI/ML,medium
5000000,6,41,8,12,Waterfall,Web Development,high
4000000,4,29,9,16,Iterative,Enterprise Software,medium
2000000,4,36,6,6,Spiral,Mobile App,high
3000000,4,43,10,9,Agile,Cybersecurity,high
2000000,6,20,2,20,Waterfall,AI/ML,low
5000000,6,30,7,6,Waterfall,Cloud Migration,medium
1000000,4,8,3,16,Agile,Mobile App,low
2000000,4,27,3,9,Prototyping,Data Analytics,low
2000000,4,14,2,4,Agile,Enterprise Software,low
1000000,4,7,8,9,Agile,DevOps,low
5000000,6,38,7,4,Iterative,IoT,high
4000000,6,12,5,4,Agile,AI/ML,low
1000000,6,41,3,16,Agile,Data Analytics,medium
1000000,4,37,2,9,Agile,Enterprise Software,medium
3000000,4,30,7,11,Agile,Blockchain,medium
5000000,4,19,2,14,V-Model,Enterprise Software,medium
4000000,4,41,8,15,Agile,Blockchain,high
5000000,4,37,3,1,Agile,Cybersecurity,medium
5000000,4,12,7,16,Waterfall,Data Analytics,medium
2000000,4,19,6,13,Agile,Cybersecurity,medium
2000000,6,33,5,12,Agile,IoT,medium
3000000,4,16,1,14,Waterfall,Web Development,low
4000000,4,47,1,11,Waterfall,DevOps,high
2000000,4,16,1,9,V-Model,Blockchain,low
3000000,4,48,6,1,Agile,DevOps,high
2000000,6,49,4,3,Waterfall,IoT,high
5000000,6,26,6,10,Waterfall,Blockchain,medium
2000000,4,7,8,9,Agile,IoT,low
2000000,6,17,8,7,Spiral,DevOps,medium
1000000,6,30,7,19,Iterative,Data Analytics,medium
1000000,6,46,9,7,Prototyping,Blockchain,high
5000000,4,15,9,11,Waterfall,AI/ML,high
2000000,6,14,4,8,Agile,Cloud Migration,low
